SKU,BaseCode,Name,Type,Kering_SKU,PriceReference_SKU,Stock_SKU,PDP_URL,Price(B2C US),BaseCurve,BridgeSize,EyeSize,ImageUrl,FrameColor,LensColor,LensGradient,LensMaterial,ReaderPower,StockLevel,StockStatus,Description
MM408-002,MM408,MyMaui Sandy Beach,MM SKU,,408-02,408-02,https://www.mauijim.com/shop/sunglasses/rimless/sandy-beach,9999,8,14,56,https://images.mauijim.com/mymaui/408/MM408-002_front.jpg,Gloss Black,HCL® Bronze,Bi-Gradient,Maui Evolution®,0,outOfStock,,"These rimless, polycarbonate, <a href=""https://www.mauijim.com/polarized-sunglasses"">polarized sunglasses</a> are named for the well-loved Sandy Beach in Oahu. Like the ocean activity mecca of their namesake, these frames are durable and comfortable enough for all levels of activity."
408-02,408,SANDY BEACH,Stock SKU,MJ0408S-001,408-02,408-02,https://www.mauijim.com/shop/sunglasses/rimless/sandy-beach,123,8,14,56,https://images.mauijim.com/mymaui/408/408-02_front.jpg,Gloss Black,Neutral Grey,BIGRADIENT,MauiPure,0,outOfStock,,"These rimless, polycarbonate, <a href=""https://www.mauijim.com/polarized-sunglasses"">polarized sunglasses</a> are named for the well-loved Sandy Beach in Oahu. Like the ocean activity mecca of their namesake, these frames are durable and comfortable enough for all levels of activity."
MM408-004,MM408,MyMaui Sandy Beach,MM SKU,,408-02,408-02,https://www.mauijim.com/shop/sunglasses/rimless/sandy-beach,44,8,14,56,https://images.mauijim.com/mymaui/408/MM408-004_front.jpg,Gloss Black,Maui Rose®,Bi-Gradient,MauiBrilliant,0,outOfStock,,"These rimless, polycarbonate, <a href=""https://www.mauijim.com/polarized-sunglasses"">polarized sunglasses</a> are named for the well-loved Sandy Beach in Oahu. Like the ocean activity mecca of their namesake, these frames are durable and comfortable enough for all levels of activity."
MM408-005,MM408,MyMaui Sandy Beach,MM SKU,,408-02,408-02,https://www.mauijim.com/shop/sunglasses/rimless/sandy-beach,33,8,14,56,https://images.mauijim.com/mymaui/408/MM408-005_front.jpg,Gloss Black,HCL® Bronze,Bi-Gradient,MauiPure,0,outOfStock,,"These rimless, polycarbonate, <a href=""https://www.mauijim.com/polarized-sunglasses"">polarized sunglasses</a> are named for the well-loved Sandy Beach in Oahu. Like the ocean activity mecca of their namesake, these frames are durable and comfortable enough for all levels of activity."
MM408-006,MM408,MyMaui Sandy Beach,MM SKU,,408-02,408-02,https://www.mauijim.com/shop/sunglasses/rimless/sandy-beach,22,8,14,56,https://images.mauijim.com/mymaui/408/MM408-006_front.jpg,Gloss Black,Maui Rose®,Bi-Gradient,MauiPure,0,outOfStock,,"These rimless, polycarbonate, <a href=""https://www.mauijim.com/polarized-sunglasses"">polarized sunglasses</a> are named for the well-loved Sandy Beach in Oahu. Like the ocean activity mecca of their namesake, these frames are durable and comfortable enough for all levels of activity."
MM408-007,MM408,MyMaui Sandy Beach,MM SKU,,408-02,408-02,https://www.mauijim.com/shop/sunglasses/rimless/sandy-beach,111,8,14,56,https://images.mauijim.com/mymaui/408/MM408-007_front.jpg,Tortoise,Neutral Grey,Bi-Gradient,MauiBrilliant,0,outOfStock,,"These rimless, polycarbonate, <a href=""https://www.mauijim.com/polarized-sunglasses"">polarized sunglasses</a> are named for the well-loved Sandy Beach in Oahu. Like the ocean activity mecca of their namesake, these frames are durable and comfortable enough for all levels of activity."
MM408-009,MM408,MyMaui Sandy Beach,MM SKU,,408-02,408-02,https://www.mauijim.com/shop/sunglasses/rimless/sandy-beach,9999,8,14,56,https://images.mauijim.com/mymaui/408/MM408-009_front.jpg,Tortoise,Maui HT™,Bi-Gradient,MauiBrilliant,0,outOfStock,,"These rimless, polycarbonate, <a href=""https://www.mauijim.com/polarized-sunglasses"">polarized sunglasses</a> are named for the well-loved Sandy Beach in Oahu. Like the ocean activity mecca of their namesake, these frames are durable and comfortable enough for all levels of activity."
MM408-011,MM408,MyMaui Sandy Beach,MM SKU,,408-02,408-02,https://www.mauijim.com/shop/sunglasses/rimless/sandy-beach,9999,8,14,56,https://images.mauijim.com/mymaui/408/MM408-011_front.jpg,Tortoise,Neutral Grey,Bi-Gradient,MauiPure,0,outOfStock,,"These rimless, polycarbonate, <a href=""https://www.mauijim.com/polarized-sunglasses"">polarized sunglasses</a> are named for the well-loved Sandy Beach in Oahu. Like the ocean activity mecca of their namesake, these frames are durable and comfortable enough for all levels of activity."
MM408-012,MM408,MyMaui Sandy Beach,MM SKU,,408-02,408-02,https://www.mauijim.com/shop/sunglasses/rimless/sandy-beach,9999,8,14,56,https://images.mauijim.com/mymaui/408/MM408-012_front.jpg,Gloss Black,Blue Hawaii,NONGRADIENT,MauiBrilliant,0,outOfStock,,"These rimless, polycarbonate, <a href=""https://www.mauijim.com/polarized-sunglasses"">polarized sunglasses</a> are named for the well-loved Sandy Beach in Oahu. Like the ocean activity mecca of their namesake, these frames are durable and comfortable enough for all levels of activity."
MM408-013,MM408,MyMaui Sandy Beach,MM SKU,,408-02,408-02,https://www.mauijim.com/shop/sunglasses/rimless/sandy-beach,9999,8,14,56,https://images.mauijim.com/mymaui/408/MM408-013_front.jpg,Tortoise,Blue Hawaii,NONGRADIENT,MauiBrilliant,0,outOfStock,,"These rimless, polycarbonate, <a href=""https://www.mauijim.com/polarized-sunglasses"">polarized sunglasses</a> are named for the well-loved Sandy Beach in Oahu. Like the ocean activity mecca of their namesake, these frames are durable and comfortable enough for all levels of activity."
