ID,Name,Description,Status,Categories,Weight,Brand,Stock,StockCheck,CatalogID,Hide,NotForSale,Image1,ImageCaption1,Image2,ImageCaption2,Image3,ImageCaption3,Image4,ImageCaption4,Condition,Breadcrumb,Link,Price,SalePrice,UPC,COGS,Discontinued,ProductType
555,Lumify Ultrasound System by Philips Healthcare,"The Lumify Ultrasound System by Philips Healthcare is a revolutionary smartphone connectable, app-based portable hand-held ultrasound device that puts incredibly detailed imaging in the palm of your hand. Featuring high-resolution imaging that delivers crystal clear results, Lumify ultrasound provides uncompromised quality in both shallow and deeper applications including:&nbsp;soft tissuevascularsuperficialmusculoskeletalcardiacabdominalFASTOB/GYNlungPhilips Lumify is capable of 2-5 hour continuous scanning. Lumifyï¿½&euro;ï¿½s performance can help with patient diagnostics in the most urgent situations with exceptional flexibility. Weighing in at less than 136 grams, all three of Lumify battery-free transducers will give you lightweight control for exceptional ease-of-use providing the ultimate advantage in portability. Being built for versatility, Lumify also features a detachable cable, offering the flexibility to replace cables which have become damaged, and helping to keep up with the world of ever-evolving digital devices.Meet the Transducers:Lumify L12-4 Linear Array TransducerThe Lumify L12-4 transducer has been designed to provide high-resolution imaging for shallow applications, including soft tissue, vascular, superficial, musculoskeletal, and lung imaging. This linear array transducer provides 2D, color Doppler, and M-mode imaging, with a 12 to 4 MHz extended operating frequency range and a 34mm aperture size. Included is a sixty-month basic warranty.Lumify S4-1 Sector/Phased Array TransducerThe Lumify S4-1 transducer is designed to provide high-resolution imaging for deeper applications, including echo, abdominal, FAST, OB/GYN and lung imaging. This sector/phased array transducer provides 2D, color Doppler, and M-mode imaging, with a 4 to 1 MHz extended operating frequency range. Includes a sixty-month basic warranty.Lumify C5-2 Curved Array TransducerThe Lumify C5-2 transducer's design provides high-resolution imaging for deeper applications, including abdominal, gallbladder, OB/GYN and lung imaging. This curved array transducer provides 2D, color Doppler, and M-mode imaging, with a 5 to 2 MHz extended operating frequency range and 50mm radius of curvature. Includes a sixty-month basic warranty.Philips Lumify is available in a variety of configurations. You can choose the unit only or you can add a Samsung Galaxy Tablet S2 with the Lumify app pre-loaded. The packages available including the tablet also come with a charging cable, a custom tablet case (standard or rugged), a Lumify USB-C cable, a Lumify Micro USB cable, a paper user manual, instructions for use on a CD, and a custom carry bag. The Rugged bundles include a Juggernaut tablet sleeve and cables and a carry case.You can make your preferred configuration selection by using the drop-down windows above.",,Discounted Accessories@ALS/Ultrasound/Ultrasound Systems,0,Philips Healthcare,0,OutOfStock,4605,0,0,assets/images/Image_S4-1 Hand_phone_composed (002).jpg,With Smartphone App,assets/images/Lumify - L12-4.jpg,L12-4 Transducer,assets/images/Lumify - C5-2.jpg,C5-2 Transducer,assets/images/Lumify - S4-1.jpg,S4-1 Transducer,New,Discounted Accessories@,https://www.aedsuperstore.com/lumify-ultrasound-system-philips-healthcare.html?select1=2&select2=2,500,0,,,No,
222,Lumify Ultrasound System by Philips Healthcare,"The Lumify Ultrasound System by Philips Healthcare is a revolutionary smartphone connectable, app-based portable hand-held ultrasound device that puts incredibly detailed imaging in the palm of your hand. Featuring high-resolution imaging that delivers crystal clear results, Lumify ultrasound provides uncompromised quality in both shallow and deeper applications including:&nbsp;soft tissuevascularsuperficialmusculoskeletalcardiacabdominalFASTOB/GYNlungPhilips Lumify is capable of 2-5 hour continuous scanning. Lumifyï¿½&euro;ï¿½s performance can help with patient diagnostics in the most urgent situations with exceptional flexibility. Weighing in at less than 136 grams, all three of Lumify battery-free transducers will give you lightweight control for exceptional ease-of-use providing the ultimate advantage in portability. Being built for versatility, Lumify also features a detachable cable, offering the flexibility to replace cables which have become damaged, and helping to keep up with the world of ever-evolving digital devices.Meet the Transducers:Lumify L12-4 Linear Array TransducerThe Lumify L12-4 transducer has been designed to provide high-resolution imaging for shallow applications, including soft tissue, vascular, superficial, musculoskeletal, and lung imaging. This linear array transducer provides 2D, color Doppler, and M-mode imaging, with a 12 to 4 MHz extended operating frequency range and a 34mm aperture size. Included is a sixty-month basic warranty.Lumify S4-1 Sector/Phased Array TransducerThe Lumify S4-1 transducer is designed to provide high-resolution imaging for deeper applications, including echo, abdominal, FAST, OB/GYN and lung imaging. This sector/phased array transducer provides 2D, color Doppler, and M-mode imaging, with a 4 to 1 MHz extended operating frequency range. Includes a sixty-month basic warranty.Lumify C5-2 Curved Array TransducerThe Lumify C5-2 transducer's design provides high-resolution imaging for deeper applications, including abdominal, gallbladder, OB/GYN and lung imaging. This curved array transducer provides 2D, color Doppler, and M-mode imaging, with a 5 to 2 MHz extended operating frequency range and 50mm radius of curvature. Includes a sixty-month basic warranty.Philips Lumify is available in a variety of configurations. You can choose the unit only or you can add a Samsung Galaxy Tablet S2 with the Lumify app pre-loaded. The packages available including the tablet also come with a charging cable, a custom tablet case (standard or rugged), a Lumify USB-C cable, a Lumify Micro USB cable, a paper user manual, instructions for use on a CD, and a custom carry bag. The Rugged bundles include a Juggernaut tablet sleeve and cables and a carry case.You can make your preferred configuration selection by using the drop-down windows above.",,Discounted Accessories@ALS/Ultrasound/Ultrasound Systems,0,Philips Healthcare,0,OutOfStock,4605,0,0,assets/images/Image_S4-1 Hand_phone_composed (002).jpg,With Smartphone App,assets/images/Lumify - L12-4.jpg,L12-4 Transducer,assets/images/Lumify - C5-2.jpg,C5-2 Transducer,assets/images/Lumify - S4-1.jpg,S4-1 Transducer,New,Discounted Accessories@,https://www.aedsuperstore.com/lumify-ultrasound-system-philips-healthcare.html?select1=3&select2=2,5950,0,,,No,
333,Lumify Ultrasound System by Philips Healthcare,"The Lumify Ultrasound System by Philips Healthcare is a revolutionary smartphone connectable, app-based portable hand-held ultrasound device that puts incredibly detailed imaging in the palm of your hand. Featuring high-resolution imaging that delivers crystal clear results, Lumify ultrasound provides uncompromised quality in both shallow and deeper applications including:&nbsp;soft tissuevascularsuperficialmusculoskeletalcardiacabdominalFASTOB/GYNlungPhilips Lumify is capable of 2-5 hour continuous scanning. Lumifyï¿½&euro;ï¿½s performance can help with patient diagnostics in the most urgent situations with exceptional flexibility. Weighing in at less than 136 grams, all three of Lumify battery-free transducers will give you lightweight control for exceptional ease-of-use providing the ultimate advantage in portability. Being built for versatility, Lumify also features a detachable cable, offering the flexibility to replace cables which have become damaged, and helping to keep up with the world of ever-evolving digital devices.Meet the Transducers:Lumify L12-4 Linear Array TransducerThe Lumify L12-4 transducer has been designed to provide high-resolution imaging for shallow applications, including soft tissue, vascular, superficial, musculoskeletal, and lung imaging. This linear array transducer provides 2D, color Doppler, and M-mode imaging, with a 12 to 4 MHz extended operating frequency range and a 34mm aperture size. Included is a sixty-month basic warranty.Lumify S4-1 Sector/Phased Array TransducerThe Lumify S4-1 transducer is designed to provide high-resolution imaging for deeper applications, including echo, abdominal, FAST, OB/GYN and lung imaging. This sector/phased array transducer provides 2D, color Doppler, and M-mode imaging, with a 4 to 1 MHz extended operating frequency range. Includes a sixty-month basic warranty.Lumify C5-2 Curved Array TransducerThe Lumify C5-2 transducer's design provides high-resolution imaging for deeper applications, including abdominal, gallbladder, OB/GYN and lung imaging. This curved array transducer provides 2D, color Doppler, and M-mode imaging, with a 5 to 2 MHz extended operating frequency range and 50mm radius of curvature. Includes a sixty-month basic warranty.Philips Lumify is available in a variety of configurations. You can choose the unit only or you can add a Samsung Galaxy Tablet S2 with the Lumify app pre-loaded. The packages available including the tablet also come with a charging cable, a custom tablet case (standard or rugged), a Lumify USB-C cable, a Lumify Micro USB cable, a paper user manual, instructions for use on a CD, and a custom carry bag. The Rugged bundles include a Juggernaut tablet sleeve and cables and a carry case.You can make your preferred configuration selection by using the drop-down windows above.",,Discounted Accessories@ALS/Ultrasound/Ultrasound Systems,0,Philips Healthcare,0,OutOfStock,4605,0,0,assets/images/Image_S4-1 Hand_phone_composed (002).jpg,With Smartphone App,assets/images/Lumify - L12-4.jpg,L12-4 Transducer,assets/images/Lumify - C5-2.jpg,C5-2 Transducer,assets/images/Lumify - S4-1.jpg,S4-1 Transducer,New,Discounted Accessories@,https://www.aedsuperstore.com/lumify-ultrasound-system-philips-healthcare.html?select1=4&select2=2,7000,0,,,No,
44,Lumify Ultrasound System by Philips Healthcare,"The Lumify Ultrasound System by Philips Healthcare is a revolutionary smartphone connectable, app-based portable hand-held ultrasound device that puts incredibly detailed imaging in the palm of your hand. Featuring high-resolution imaging that delivers crystal clear results, Lumify ultrasound provides uncompromised quality in both shallow and deeper applications including:&nbsp;soft tissuevascularsuperficialmusculoskeletalcardiacabdominalFASTOB/GYNlungPhilips Lumify is capable of 2-5 hour continuous scanning. Lumifyï¿½&euro;ï¿½s performance can help with patient diagnostics in the most urgent situations with exceptional flexibility. Weighing in at less than 136 grams, all three of Lumify battery-free transducers will give you lightweight control for exceptional ease-of-use providing the ultimate advantage in portability. Being built for versatility, Lumify also features a detachable cable, offering the flexibility to replace cables which have become damaged, and helping to keep up with the world of ever-evolving digital devices.Meet the Transducers:Lumify L12-4 Linear Array TransducerThe Lumify L12-4 transducer has been designed to provide high-resolution imaging for shallow applications, including soft tissue, vascular, superficial, musculoskeletal, and lung imaging. This linear array transducer provides 2D, color Doppler, and M-mode imaging, with a 12 to 4 MHz extended operating frequency range and a 34mm aperture size. Included is a sixty-month basic warranty.Lumify S4-1 Sector/Phased Array TransducerThe Lumify S4-1 transducer is designed to provide high-resolution imaging for deeper applications, including echo, abdominal, FAST, OB/GYN and lung imaging. This sector/phased array transducer provides 2D, color Doppler, and M-mode imaging, with a 4 to 1 MHz extended operating frequency range. Includes a sixty-month basic warranty.Lumify C5-2 Curved Array TransducerThe Lumify C5-2 transducer's design provides high-resolution imaging for deeper applications, including abdominal, gallbladder, OB/GYN and lung imaging. This curved array transducer provides 2D, color Doppler, and M-mode imaging, with a 5 to 2 MHz extended operating frequency range and 50mm radius of curvature. Includes a sixty-month basic warranty.Philips Lumify is available in a variety of configurations. You can choose the unit only or you can add a Samsung Galaxy Tablet S2 with the Lumify app pre-loaded. The packages available including the tablet also come with a charging cable, a custom tablet case (standard or rugged), a Lumify USB-C cable, a Lumify Micro USB cable, a paper user manual, instructions for use on a CD, and a custom carry bag. The Rugged bundles include a Juggernaut tablet sleeve and cables and a carry case.You can make your preferred configuration selection by using the drop-down windows above.",,Discounted Accessories@ALS/Ultrasound/Ultrasound Systems,0,Philips Healthcare,0,OutOfStock,4605,0,0,assets/images/Image_S4-1 Hand_phone_composed (002).jpg,With Smartphone App,assets/images/Lumify - L12-4.jpg,L12-4 Transducer,assets/images/Lumify - C5-2.jpg,C5-2 Transducer,assets/images/Lumify - S4-1.jpg,S4-1 Transducer,New,Discounted Accessories@,https://www.aedsuperstore.com/lumify-ultrasound-system-philips-healthcare.html?select1=5&select2=2,14000,0,,,No,
5511,Lumify Ultrasound System by Philips Healthcare,"The Lumify Ultrasound System by Philips Healthcare is a revolutionary smartphone connectable, app-based portable hand-held ultrasound device that puts incredibly detailed imaging in the palm of your hand. Featuring high-resolution imaging that delivers crystal clear results, Lumify ultrasound provides uncompromised quality in both shallow and deeper applications including:&nbsp;soft tissuevascularsuperficialmusculoskeletalcardiacabdominalFASTOB/GYNlungPhilips Lumify is capable of 2-5 hour continuous scanning. Lumifyï¿½&euro;ï¿½s performance can help with patient diagnostics in the most urgent situations with exceptional flexibility. Weighing in at less than 136 grams, all three of Lumify battery-free transducers will give you lightweight control for exceptional ease-of-use providing the ultimate advantage in portability. Being built for versatility, Lumify also features a detachable cable, offering the flexibility to replace cables which have become damaged, and helping to keep up with the world of ever-evolving digital devices.Meet the Transducers:Lumify L12-4 Linear Array TransducerThe Lumify L12-4 transducer has been designed to provide high-resolution imaging for shallow applications, including soft tissue, vascular, superficial, musculoskeletal, and lung imaging. This linear array transducer provides 2D, color Doppler, and M-mode imaging, with a 12 to 4 MHz extended operating frequency range and a 34mm aperture size. Included is a sixty-month basic warranty.Lumify S4-1 Sector/Phased Array TransducerThe Lumify S4-1 transducer is designed to provide high-resolution imaging for deeper applications, including echo, abdominal, FAST, OB/GYN and lung imaging. This sector/phased array transducer provides 2D, color Doppler, and M-mode imaging, with a 4 to 1 MHz extended operating frequency range. Includes a sixty-month basic warranty.Lumify C5-2 Curved Array TransducerThe Lumify C5-2 transducer's design provides high-resolution imaging for deeper applications, including abdominal, gallbladder, OB/GYN and lung imaging. This curved array transducer provides 2D, color Doppler, and M-mode imaging, with a 5 to 2 MHz extended operating frequency range and 50mm radius of curvature. Includes a sixty-month basic warranty.Philips Lumify is available in a variety of configurations. You can choose the unit only or you can add a Samsung Galaxy Tablet S2 with the Lumify app pre-loaded. The packages available including the tablet also come with a charging cable, a custom tablet case (standard or rugged), a Lumify USB-C cable, a Lumify Micro USB cable, a paper user manual, instructions for use on a CD, and a custom carry bag. The Rugged bundles include a Juggernaut tablet sleeve and cables and a carry case.You can make your preferred configuration selection by using the drop-down windows above.",,Discounted Accessories@ALS/Ultrasound/Ultrasound Systems,0,Philips Healthcare,0,OutOfStock,4605,0,0,assets/images/Image_S4-1 Hand_phone_composed (002).jpg,With Smartphone App,assets/images/Lumify - L12-4.jpg,L12-4 Transducer,assets/images/Lumify - C5-2.jpg,C5-2 Transducer,assets/images/Lumify - S4-1.jpg,S4-1 Transducer,New,Discounted Accessories@,https://www.aedsuperstore.com/lumify-ultrasound-system-philips-healthcare.html?select1=6&select2=2,14000,0,,,No,
666,Lumify Ultrasound System by Philips Healthcare,"The Lumify Ultrasound System by Philips Healthcare is a revolutionary smartphone connectable, app-based portable hand-held ultrasound device that puts incredibly detailed imaging in the palm of your hand. Featuring high-resolution imaging that delivers crystal clear results, Lumify ultrasound provides uncompromised quality in both shallow and deeper applications including:&nbsp;soft tissuevascularsuperficialmusculoskeletalcardiacabdominalFASTOB/GYNlungPhilips Lumify is capable of 2-5 hour continuous scanning. Lumifyï¿½&euro;ï¿½s performance can help with patient diagnostics in the most urgent situations with exceptional flexibility. Weighing in at less than 136 grams, all three of Lumify battery-free transducers will give you lightweight control for exceptional ease-of-use providing the ultimate advantage in portability. Being built for versatility, Lumify also features a detachable cable, offering the flexibility to replace cables which have become damaged, and helping to keep up with the world of ever-evolving digital devices.Meet the Transducers:Lumify L12-4 Linear Array TransducerThe Lumify L12-4 transducer has been designed to provide high-resolution imaging for shallow applications, including soft tissue, vascular, superficial, musculoskeletal, and lung imaging. This linear array transducer provides 2D, color Doppler, and M-mode imaging, with a 12 to 4 MHz extended operating frequency range and a 34mm aperture size. Included is a sixty-month basic warranty.Lumify S4-1 Sector/Phased Array TransducerThe Lumify S4-1 transducer is designed to provide high-resolution imaging for deeper applications, including echo, abdominal, FAST, OB/GYN and lung imaging. This sector/phased array transducer provides 2D, color Doppler, and M-mode imaging, with a 4 to 1 MHz extended operating frequency range. Includes a sixty-month basic warranty.Lumify C5-2 Curved Array TransducerThe Lumify C5-2 transducer's design provides high-resolution imaging for deeper applications, including abdominal, gallbladder, OB/GYN and lung imaging. This curved array transducer provides 2D, color Doppler, and M-mode imaging, with a 5 to 2 MHz extended operating frequency range and 50mm radius of curvature. Includes a sixty-month basic warranty.Philips Lumify is available in a variety of configurations. You can choose the unit only or you can add a Samsung Galaxy Tablet S2 with the Lumify app pre-loaded. The packages available including the tablet also come with a charging cable, a custom tablet case (standard or rugged), a Lumify USB-C cable, a Lumify Micro USB cable, a paper user manual, instructions for use on a CD, and a custom carry bag. The Rugged bundles include a Juggernaut tablet sleeve and cables and a carry case.You can make your preferred configuration selection by using the drop-down windows above.",,Discounted Accessories@ALS/Ultrasound/Ultrasound Systems,0,Philips Healthcare,0,OutOfStock,4605,0,0,assets/images/Image_S4-1 Hand_phone_composed (002).jpg,With Smartphone App,assets/images/Lumify - L12-4.jpg,L12-4 Transducer,assets/images/Lumify - C5-2.jpg,C5-2 Transducer,assets/images/Lumify - S4-1.jpg,S4-1 Transducer,New,Discounted Accessories@,https://www.aedsuperstore.com/lumify-ultrasound-system-philips-healthcare.html?select1=6&select2=2,14000,0,,,No,
2121,Lumify Ultrasound System by Philips Healthcare,"The Lumify Ultrasound System by Philips Healthcare is a revolutionary smartphone connectable, app-based portable hand-held ultrasound device that puts incredibly detailed imaging in the palm of your hand. Featuring high-resolution imaging that delivers crystal clear results, Lumify ultrasound provides uncompromised quality in both shallow and deeper applications including:&nbsp;soft tissuevascularsuperficialmusculoskeletalcardiacabdominalFASTOB/GYNlungPhilips Lumify is capable of 2-5 hour continuous scanning. Lumifyï¿½&euro;ï¿½s performance can help with patient diagnostics in the most urgent situations with exceptional flexibility. Weighing in at less than 136 grams, all three of Lumify battery-free transducers will give you lightweight control for exceptional ease-of-use providing the ultimate advantage in portability. Being built for versatility, Lumify also features a detachable cable, offering the flexibility to replace cables which have become damaged, and helping to keep up with the world of ever-evolving digital devices.Meet the Transducers:Lumify L12-4 Linear Array TransducerThe Lumify L12-4 transducer has been designed to provide high-resolution imaging for shallow applications, including soft tissue, vascular, superficial, musculoskeletal, and lung imaging. This linear array transducer provides 2D, color Doppler, and M-mode imaging, with a 12 to 4 MHz extended operating frequency range and a 34mm aperture size. Included is a sixty-month basic warranty.Lumify S4-1 Sector/Phased Array TransducerThe Lumify S4-1 transducer is designed to provide high-resolution imaging for deeper applications, including echo, abdominal, FAST, OB/GYN and lung imaging. This sector/phased array transducer provides 2D, color Doppler, and M-mode imaging, with a 4 to 1 MHz extended operating frequency range. Includes a sixty-month basic warranty.Lumify C5-2 Curved Array TransducerThe Lumify C5-2 transducer's design provides high-resolution imaging for deeper applications, including abdominal, gallbladder, OB/GYN and lung imaging. This curved array transducer provides 2D, color Doppler, and M-mode imaging, with a 5 to 2 MHz extended operating frequency range and 50mm radius of curvature. Includes a sixty-month basic warranty.Philips Lumify is available in a variety of configurations. You can choose the unit only or you can add a Samsung Galaxy Tablet S2 with the Lumify app pre-loaded. The packages available including the tablet also come with a charging cable, a custom tablet case (standard or rugged), a Lumify USB-C cable, a Lumify Micro USB cable, a paper user manual, instructions for use on a CD, and a custom carry bag. The Rugged bundles include a Juggernaut tablet sleeve and cables and a carry case.You can make your preferred configuration selection by using the drop-down windows above.",,Discounted Accessories@ALS/Ultrasound/Ultrasound Systems,0,Philips Healthcare,0,OutOfStock,4605,0,0,assets/images/Image_S4-1 Hand_phone_composed (002).jpg,With Smartphone App,assets/images/Lumify - L12-4.jpg,L12-4 Transducer,assets/images/Lumify - C5-2.jpg,C5-2 Transducer,assets/images/Lumify - S4-1.jpg,S4-1 Transducer,New,Discounted Accessories@,https://www.aedsuperstore.com/lumify-ultrasound-system-philips-healthcare.html?select1=7&select2=2,14000,0,,,No,
252052,AMBU Disposable Infant Rescue Mask in Poly Bag,"Ambu Disposable Infant Rescue Mask in Poly Bag. The Ambu Res-Cue Mask is designed to provide protected rescue breathing for any patient (any age group) and may also be used with a resuscitator.   It helps protect rescuers in an emergency situation.  Prevents direct contact with patient's mouth, nose and face and helps overcome hesitation to start resuscitation.  Transparent dome allows the rescuer to visually check for patient's lip color and vomitus. Made of durable plastics.&nbsp;Not made with natural rubber latex.The valve is NOT included. See Related Items for valve selection.   Available in single or economical 20 pack. Choose the quantity by using the drop-down window above.",,"Discounted Accessories@Rescue Products/CPR Kits, Masks, BVMs/CPR Masks & Face Shields",0.05,Ambu,96,InStock,4549,0,0,assets/images/000252052-view-2.jpg,Mask,assets/images/000252052-view-1.jpg,Mask,assets/images/000252052-side.jpg,Side View,assets/images/000252052-underside.jpg,Underside,New,Discounted Accessories@,https://www.aedsuperstore.com/ambu-000252052-disposable-infant-rescue-mask-in-poly-bag.html?select1=2,2.95,0,5707480023264,2.0771,No,TRA Manikins Access
0009-1799,Easy Care Easy Access First Aid Kit by Adventure Medical Kits,"Easy Care&nbsp; First Aidï¿½ Easy Access First Aid Kit by Adventure Medical Kits. The Easy Access First Aid Kit comes with first aid supplies that are easy to find and ready to use at a momentï¿½s notice. The unique Easy Access Panel keeps you prepared with everything you need to treat cuts and scrapes, which are the most common injuries, without even opening the kit! The panel easily pops out to give you instant access to Easy Access Bandages&reg; and antiseptic wipes. No need to fumble around looking for them.&nbsp;Easy Access is the perfect home first aid kit. The kit features a durable plastic case and organizes the contents by injury into pockets that are clearly labeled with easy-to-follow instructions. The quality contents include everything from adhesive bandages and tweezers to a triangular bandage, trauma pad, and sterile dressings. With this family first aid kit, anyone can provide fast and effective first aid. Whether youï¿½re looking for a first aid box to keep in the car or a mom first aid kit for at-home adventures, keeping your family safe has never been easier.Unique Easy Access Panel - Keep the most frequently used first aid supplies right at your fingertips. The unique panel gives you instant access to Easy Access Bandages&reg; and antiseptics, so you can treat cuts and scrapes quickly and easily.Easy Care Organization System - Find first aid supplies fast to provide quick and effective first aid. Contents are organized by injury with clearly-labeled pockets printed with easy-to-follow first aid instructions.Easy Access Bandages&reg; - Open and apply adhesive bandages without struggling with the wrapper. Thanks to the patented ""Easy Open Technology,"" you can just grab, pull, and stick to keep wounds safe and protected.American Red Cross Emergency First Aid Guide - This guide will help you learn how to provide effective first aid and respond to emergencies. This booklet contains easy-to-follow instructions on everything from stopping nosebleeds to administering CPR.Cuts &amp; Scrapes60 Easy Access Bandages&reg;, Fabric, 1""x3""60 Easy Access Bandages&reg;, Plastic, 1""x3""20 Antiseptic WipeBleeding, Wounds &amp; Burns1 First Aid Tape Roll 1/2ï¿½ x 2.5 Yards10 Cotton Tipped Applicator4 Gauze Pad, 2ï¿½ x 2ï¿½4 Gauze Pad, 4ï¿½ x 4ï¿½1 Trauma Pad, 5ï¿½ x 9ï¿½1 Gauze Roll, 2ï¿½ x 4.1 YardsSprains &amp; Strains1 Triangular Bandage2 Safety Pin2 Wooden Finger SplintInstruments &amp; Instruction1 Emergency First Aid Guide4 Medical Grade Glove1 Instant Cold Compress1 Splinter Picker/Tick Remover ForcepsSize: 9.75"" x 3"" x 8.5""Weight: 1.4 lbsAdventure Medical Kits reserves the right to add, substitute, or delete items if necessary.Please note: Some medications may not be available in products sold outside of the US. Additional items may be substituted.",,Discounted Accessories@Rescue Products/First Aid Kits/Adventure Medical Kits/Easy Care First Aid Kits,1.4,Adventure Medical Kits,10,InStock,3188,0,0,assets/images/0009-1799-front.jpg,Front,assets/images/0009-1799-contents.jpg,Contents,assets/images/0009-1799-back.jpg,Back,,,New,Discounted Accessories@,https://www.aedsuperstore.com/adventure-medical-kits-easy-care-home-workshop-first-aid-kit.html,25.99,0,,13.25,No,OTH First Aid
1302,Oxygen Supply Tubing - 7ft,Oxygen Supply Tubing. Comes in 7ft sections. Includes vinyl standard O2 supply line tips. Not made with natural rubber latex.,,"Discounted Accessories@Rescue Products/CPR Kits, Masks, BVMs/CPR Masks & Face Shields",0.2,Emergency Medical Products,0,OutOfStock,3575,0,0,assets/images/001302-oxygen-tubing.jpg,,,,,,,,New,Discounted Accessories@,https://www.aedsuperstore.com/emp-001302-oxygen-supply-tubing.html,1.19,0,885403006046,0.43,No,OTH Oxygen
