sku,product_name,url,image_url,price,discount_price,category,description
10022-7,Bites and Stings Prevention and Treatment Safe Work Method Statement,https://safetydocs.safetyculture.com/swms/outdoor-work-bites-stings-swms-10022,https://cdn11.bigcommerce.com/s-u81rarrvlz/products/1696/images/4038/safetyculture-bites-and-stings-prevention-and-treatment-safe-work-method-statement__31200.1640165270.386.513.jpg?c=1,89.95,0.00,Safe Work Method Statement (SWMS) Templates > Pest Control SWMS," Instant Document Delivery via Email.;  Add to your existing management system.;  Can assist in ensuring workers are adequately trained.;  Customisation instructions provided.;  Microsoft Word Format (Fully editable).;  Only pay once (no subscriptions required).; Bites and Stings Prevention and Treatment SWMSThis Bites and Stings Prevention and Treatment Safe Work Method Statement (SWMS) covers the hazards and controls for preventing and treating spider, insect, and snake bites and stings. Job Steps Covered in Bites and Stings Prevention and Treatment SWMS Planning: Focuses on making necessary preparations to safely work in areas where bites and stings pose a risk. ;  Exposure to the Elements: Addresses safety considerations when Check Weather Conditions & Prepare.;  Arrival On-site & Assess On-site Conditions: Details assessing site conditions to identify potential hazards.;  Snakebite Prevention: Offers guidelines for preventing snake bites through awareness and safe practices.;  Spider Bite Prevention: Outlines measures for spider bite prevention, including site assessment and personal protection.;  Bee & Wasp Sting Prevention: Provides steps to avoid bee and wasp stings, emphasising protective clothing and behaviour. ;  Tick Bite Prevention: Guidelines for preventing tick bites with regular checks and appropriate clothing. ;  Mosquito Bite Prevention: Measures to prevent mosquito bites through repellents and protective clothing.;  Emergency Response: Controls for incidents resulting from bites and stings. ; Each purchase of our SWMS comes with a complimentary copy of the Legislation & Codes of Practice Reference List, valued at $19.95. This valuable resource provides an up-to-date overview of relevant laws and standards, further supporting your compliance efforts.Key Features of the SWMS Comprehensive Safety Measures: Includes controls for outdoor work and isolated environments, ensuring safety under various conditions.;  Detailed Prevention Protocols: Offers guidelines for preventing bites and stings through awareness, personal protection, and site assessment.;  Environmental Management: Identifies and mitigates environmental hazards to minimise impact during operations.;  Regulatory Compliance: Adherence to Australian legislation, providing peace of mind and legal safety.; Who is it Suitable For?This SWMS is crucial for businesses involved in outdoor work where there's a risk of bites and stings, including: Agricultural Workers: Safety measures for field and farm workers.;  Landscaping and Gardening Companies: Guidelines for bite and sting prevention during tasks.;  Construction Firms: Maintaining safety on sites, especially in rural areas.;  Forestry Operations: Comprehensive safety protocols for forest workers.;  Remote and Isolated Workers: Protection for those in areas with higher environmental risks.;  Environmental and Wildlife Services: Safe operations for those close to wildlife and natural habitats.; Ensure your team's safety and compliance with our Bites and Stings Prevention and Treatment SWMS. Secure your copy today and take a proactive step toward safeguarding your team against the risks of bites and stings."
70010-4,Health Surveillance Policy,https://safetydocs.safetyculture.com/ohs-policies/health-surveillance-policy-70010,https://cdn11.bigcommerce.com/s-u81rarrvlz/products/3021/images/5005/safetyculture-health-surveillance-policy-70010-4__37381.1640165035.386.513.jpg?c=1,29.95,0.00,Policies & Procedures > Policies > OHS Policies & Procedures," Instant Document Delivery via Email.;  Add to your existing management system.;  Can assist in ensuring workers are adequately trained.;  Customisation instructions provided.;  Microsoft Word Format (Fully editable).;  Only pay once (no subscriptions required).; Health Surveillance PolicyThe Health Surveillance Policy assists organisations in identifying and managing health risks associated with hazardous chemicals and environments. This policy ensures that businesses can effectively monitor and protect the health of their workers through structured surveillance procedures.Content Overview Review Procedure: Details the process for reviewing the policy in response to changes in the workplace or legislation.;  References: Provides guidance on how to add and manage references related to the policy.;  Terminology: Defines key terms and acronyms used within the policy.;  Document Control: Describes the distribution and amendment record-keeping procedures.;  Health Surveillance Policy: Explains the objectives, scope, and policy details for conducting health surveillance.;  Identifying Hazardous Chemicals: Offers methods for identifying hazardous chemicals in the workplace.;  Health Surveillance Procedure: Details the steps involved in conducting health surveillance, including responsibilities and record-keeping.;  Health Surveillance Record: Provides a template for documenting health surveillance activities and outcomes.;  Hazardous Chemicals/Dangerous Goods Register: Guides the creation and maintenance of a register for hazardous chemicals and dangerous goods.; Comes with a complimentary copy of the Legislation & Codes of Practice Reference List valued at $19.95.Key Benefits of Implementing the Policy Enhanced Worker Safety: Regular health checks help identify potential health issues early, reducing the risk of work-related illnesses.;  Regulatory Compliance: Aligns with WHS legislation, helping businesses meet their legal obligations.;  Improved Risk Management: Provides a structured approach to identifying and controlling exposure to hazardous substances.; Who is it Suitable For?This policy is ideal for businesses across various industries, particularly those involving exposure to hazardous chemicals, dust, fumes, and pathogens. It is suitable for manufacturing, construction, chemical processing, and other sectors where worker health surveillance is critical.Ensure your workers are protected with the Health Surveillance Policy. This document is a valuable addition to any organisation's health and safety management system, offering peace of mind and a proactive approach to workplace safety."
10659-3,Demolition - Vessel Safe Work Method Statement,https://safetydocs.safetyculture.com/safe-work-method-statement-swms-templates/demolition---vessel-safe-work-method-statement/,https://cdn11.bigcommerce.com/s-u81rarrvlz/products/3337/images/4802/safetyculture-demolition-vessel-safe-work-method-statement__17469.1640163111.386.513.jpg?c=1,89.95,0.00,Safe Work Method Statement (SWMS) Templates > Demolition SWMS," Instant Document Delivery via Email.;  Add to your existing management system.;  Can assist in ensuring workers are adequately trained.;  Customisation instructions provided.;  Microsoft Word Format (Fully editable).;  Only pay once (no subscriptions required).; Demolition - Vessel Safe Work Method Statement (SWMS)This Demolition - Vessel Safe Work Method Statement (SWMS) provides guidelines for safely managing demolition vessels. It helps to ensure all activities are conducted safely and comply with relevant regulations.Job Steps Covered in Demolition - Vessel SWMS Check Weather Conditions & Prepare: Addresses the risks and controls for outdoor work, including weather-related hazards.;  Arrival On-Site & Assess Onsite Conditions: Focuses on initial site assessment and setting up safely.;  Establish Safe Work Zone (Site Set-Up): Outlines the creation of a secure work environment, especially when adjacent to public areas.;  Environment: Considers the environmental impacts of demolition work and measures to mitigate them.;  Housekeeping: Emphasises the importance of maintaining a clean and orderly work site to prevent accidents.;  Manual Tasks: Details the handling of materials and equipment to avoid musculoskeletal injuries.;  Delivery, Set-Up & Removal of the Excavator: Covers the safe transport and operation of excavators, including proximity to electrical lines.;  Establish a Communication System with Pedestrian Ground Workers: Helps to ensure clear communication protocols are in place to protect all site personnel.;  Vessel Demolition: Specific steps and precautions for the demolition of vessels.;  Loading Trucks/Skips: Safe loading practices to prevent injuries and property damage.;  Trimming Steel Using Grinder or Cut-Off Saw: Safety measures for using cutting tools, including fire prevention.;  Changing Attachments: Control measures for safely changing excavator attachments.;  Operations with Hydraulic Attachments: Guidelines for the safe use of hydraulic machinery.;  Fuelling the Plant: Precautions for refuelling equipment to prevent fires and exposure to harmful substances.;  On Completion: Final checks to secure the site upon completion of work.;  Emergency Response: Outlines a response for handling emergencies during demolition activities.; Each purchase of our SWMS comes with a complimentary copy of the Legislation & Codes of Practice Reference List, valued at $19.95. This valuable resource provides an up-to-date overview of relevant laws and standards, further supporting your compliance efforts.Key Features of the SWMS High-Risk Construction Work (HRCW) Controls: Includes controls for working with mobile plant equipment, pressurised gas mains, chemical lines, and potentially flammable or contaminated atmospheres.;  Comprehensive Hazard Management: Covers additional controls for electrical equipment, elevated work, slips, trips, falls, night work, and hot work, providing a broad safety approach.;  User-Friendly Format: Designed for clarity and simplicity, making it easy for all team members to understand and implement the safety measures effectively.; Who is it Suitable For?This SWMS is essential for businesses and contractors involved in the demolition of vessels, particularly those operating in environments with high-risk construction work. It's also invaluable for safety officers and site supervisors responsible for maintaining workplace safety and compliance.Get the Demolition - Vessel SWMS today to protect your team and maintain high safety standards in your projects."
60169-3,Industrial Sewing Machine Safe Operating Procedure,https://safetydocs.safetyculture.com/standard-operating-procedures/sewing-machine-industrial-sop-60169,https://cdn11.bigcommerce.com/s-u81rarrvlz/products/2911/images/5045/safetyculture-sewing-machine-industrial-sop-60169-2__81571.1640165142.386.513.jpg?c=1,34.95,0.00,Standard/Safe Operating Procedure (SOP) Templates > Powered Equipment SOP," Instant Document Delivery via Email.;  Add to your existing management system.;  Can assist in ensuring workers are adequately trained.;  Customisation instructions provided.;  Microsoft Word Format (Fully editable).;  Only pay once (no subscriptions required).; Industrial Sewing Machine Safe Operating Procedure (SOP)The Industrial Sewing Machine Safe Operating Procedure (SOP) is a comprehensive guide designed to help businesses implement safe practices when using industrial sewing machines.Contents Hazards: Identifies potential hazards such as noise, electricity, and moving parts that could cause harm during operation.;  Precautions: Details necessary training and competencies required for operators, including PPE fitting and manual handling.;  Pre-Operational Inspection: A checklist to verify the functionality of safety guards, interlocks, and controls before use.;  Maintenance: Describes the lockout/tagout (LOTO) procedures and maintenance protocols to follow for safe machine upkeep.;  Operation: Step-by-step instructions for using the sewing machine, including posture guidance and threading procedures.;  Hazard Checklist: Includes a comprehensive checklist to assess and mitigate risks associated with the sewing machine operation.; SOP Training QuizThe Industrial Sewing Machine SOP incorporates a training quiz designed to reinforce learning and assess worker comprehension: Interactive Learning: The quiz provides an engaging tool to test workers' understanding of the SOP.;  Assessment Format: Featuring multiple-choice and true/false questions, the quiz evaluates knowledge effectively, with answers to facilitate learning.; Purchase the Industrial Sewing Machine SOP today and make safety a priority in your workplace."
10067-12,Concrete Sawing and Core Drilling Safe Work Method Statement,https://safetydocs.safetyculture.com/swms/concrete-saw-core-drilling-swms-10067,https://cdn11.bigcommerce.com/s-u81rarrvlz/products/1716/images/4037/safetyculture-concrete-sawing-and-core-drilling-safe-work-method-statement__58753.1640165257.386.513.jpg?c=1,89.95,0.00,Safe Work Method Statement (SWMS) Templates > Power Tools & Equipment SWMS," Instant Document Delivery via Email.;  Add your logo easily.;  Add or delete information to any SWMS template.;  Customisation instructions provided.;  Complies with Australian & New Zealand legislation.;  Microsoft Word Format (Fully editable).;  Only pay once (no subscriptions required).; Concrete Sawing and Core Drilling Safe Work Method StatementThis Concrete Sawing and Core Drilling Safe Work Method Statement (SWMS) covers the hazards and controls associated with using a hand-held, electric, or petrol/diesel-powered concrete saw and core drill. It promotes the safety and efficiency of operations while maintaining compliance with safety standards. Job Steps Covered in Concrete Sawing and Core Drilling SWMSTraining: Highlights the importance of educating workers on the inhalation of dust.; Planning: Involves pre-work planning to identify hazards and set control measures.; Arrival On-site & Assess On-site Conditions: Details the preliminary steps for site assessment upon arrival to identify and mitigate potential hazards.; Work Area Set-up: Provides guidelines for establishing a safe and efficient work area to minimise risks.; Environment: Outlines measures to protect the surrounding environment during operations.; Check Weather Conditions & Prepare: Addresses the unique challenges and safety considerations of outdoor operations.; Housekeeping: Emphasises the importance of maintaining a clean and organised worksite to prevent accidents.; Manual Tasks: Provides protocols to minimise risk during manual handling tasks.; Cutting/Drilling: Covers the safe execution of cutting and drilling tasks, including the use of appropriate protective equipment and techniques.; Refuelling Equipment: Details safely refuelling equipment to prevent fire and explosion hazards.; Servicing Equipment: Outlines regular maintenance procedures to ensure equipment is in safe working condition.; On Completion: Details safely concluding operations and site cleanup.; Emergency Response: Outlines the emergency procedures to follow in case of an incident.; Key SWMS FeaturesComprehensive Planning and Assessment: Steps for planning, assessing site conditions, and preparing for safe operations.; Mobile Plant Movement: Measures to ensure safety around mobile plant equipment, including establishing exclusion zones and using spotters.; Regulatory Compliance: Adherence to current industry standards and safety regulations.; Silica Dust Controls: Aligns with best practices for managing silica dust hazards.; Each purchase of our SWMS comes with a complimentary copy of the Legislation & Codes of Practice Reference List, valued at $19.95. This valuable resource provides an up-to-date overview of relevant laws and standards, further supporting your compliance efforts.Who is it Suitable forConcrete Sawing and Drilling Companies; Construction Contractors; Site Supervisors and Project Managers; Get the Concrete Sawing and Core Drilling SWMS today to protect your team and comply with safety standards."
60165-3,Utility-Box Cutter Knife Safe Operating Procedure,https://safetydocs.safetyculture.com/standard-operating-procedures/knife-use-utility-box-cutters-sop-60165,https://cdn11.bigcommerce.com/s-u81rarrvlz/products/2899/images/4741/safetyculture-knife-use-utility-box-cutters-sop-60165-2__64716.1640162967.386.513.jpg?c=1,34.95,0.00,Standard/Safe Operating Procedure (SOP) Templates > Chemical Handling & Storage SOP," Instant Document Delivery via Email.;  Add to your existing management system.;  Can assist in ensuring workers are adequately trained.;  Customisation instructions provided.;  Microsoft Word Format (Fully editable).;  Only pay once (no subscriptions required).; Utility-Box Cutter Knife Safe Operating Procedure (SOP)The Utility-Box Cutter Knife Safe Operating Procedure (SOP) provides a comprehensive guide to implementing safe practices when using utility-box cutter knives.Contents Hazards: Identifies potential hazards associated with utility-box cutter knives, such as sharp blades and manual handling.;  Snap-off Blades: Advises on the safe handling and disposal of snapped-off blade segments.;  Ensure Knives are Suitable for the Task: Offers guidance on selecting the appropriate knife for specific tasks to enhance safety and efficiency.;  Operation: Outlines the correct method for using utility-box cutter knives, from holding the knife to making precise cuts.;  Emergency Response: Procedures for addressing minor and severe lacerations, including first aid steps.;  Worker Training and Induction Register: Includes a register to track worker training and competency in knife use.; SOP Training QuizThe Utility-Box Cutter Knife SOP incorporates a training quiz designed to reinforce learning and assess worker comprehension: Interactive Learning: The quiz provides an engaging learning tool to test workers' understanding of the SOP.;  Assessment Format: Featuring multiple-choice and true/false questions, the quiz is structured to evaluate knowledge effectively, with answers to facilitate learning.; Equip your team with the knowledge and skills to handle utility-box cutter knives safely today."
60131-4,Commercial Mixing Machine Safe Operating Procedure,https://safetydocs.safetyculture.com/standard-operating-procedures/mixing-machine-kitchen-sop-60131,https://cdn11.bigcommerce.com/s-u81rarrvlz/products/2499/images/4509/safetyculture-mixing-machine-kitchen-safe-operating-procedure__38690.1640163088.386.513.jpg?c=1,34.95,0.00,Standard/Safe Operating Procedure (SOP) Templates > Catering SOP," Instant Document Delivery via Email.;  Add to your existing management system.;  Can assist in ensuring workers are adequately trained.;  Customisation instructions provided.;  Microsoft Word Format (Fully editable).;  Only pay once (no subscriptions required).; Commercial Mixing Machine Safe Operating Procedure (SOP)The Commercial Mixing Machine Safe Operating Procedure (SOP) provides a comprehensive guide to safely operating a commercial mixing machine so that workers are well-informed and risks are effectively managed.Contents Hazards: Identifies potential hazards associated with the use of a commercial mixing machine, including electrical hazards, exposure to cleaning chemicals, moving parts, manual handling, and poor housekeeping.;  PPE: Lists the personal protective equipment required to safely operate the mixing machine.;  Pre-Operational Inspection: Checklist so the machine and its components are safe for use, including checking power cords, safety switches, and emergency stop buttons.;  Precautions: Lists training and competencies required for operators, covering workplace induction, safe operating procedures, and first aid.;  Work Area: Outlines checks so the workspace is free from flammable materials, equipped with a fire extinguisher, adequately lit, and devoid of trip or slip hazards.;  Maintenance: Notes the importance of following LOTO procedures and recording service information in the Maintenance Log so maintenance is performed by qualified personnel.;  Operation: Step-by-step guidance on operating the mixing machine, from positioning the mixer to selecting mixing speed and time for safe and efficient use.;  Cleaning: Instructions on safely cleaning the machine and its accessories, highlighting the importance of turning off the power source and avoiding harsh chemicals.;  Worker Training and Induction Register: A tool to document and track worker training and induction so all workers are adequately prepared.; SOP Training QuizThe Commercial Mixing Machine Safe Operating Procedure includes a training quiz designed to reinforce learning and assess worker comprehension: Interactive Learning: The quiz provides an engaging learning tool to test workers' understanding of the SOP.;  Assessment Format: Featuring multiple-choice and true/false questions, the quiz is structured to evaluate knowledge effectively, with answers to facilitate learning.; Equip your team with the knowledge and tools they need to operate safely and efficiently. Purchase the Commercial Mixing Machine SOP today and take a proactive step toward a safer workplace."
10145-7,Insulation - Batts Installation Safe Work Method Statement,https://safetydocs.safetyculture.com/swms/insulation-ceiling-space-installation-swms-10145,https://cdn11.bigcommerce.com/s-u81rarrvlz/products/1740/images/4090/safetyculture-insulation-installation-safe-work-method-statement__56657.1640165006.386.513.jpg?c=1,89.95,0.00,Safe Work Method Statement (SWMS) Templates > Insulation SWMS," Instant Document Delivery via Email.;  Add to your existing management system.;  Can assist in ensuring workers are adequately trained.;  Customisation instructions provided.;  Microsoft Word Format (Fully editable).;  Only pay once (no subscriptions required).; Insulation - Batts Installation Safe Work Method Statement (SWMS)This Insulation - Batts Installation Safe Work Method Statement (SWMS) covers hazards and controls associated with the installation, into ceilings and walls, of insulation batts/blankets in existing premises and structure under construction.Job Steps Covered in Insulation - Batts Installation SWMS: Planning: Identifies the need for building plans, assessment of roof/ceiling spaces, and the correct type of insulation is used.;  Arrival On-site & Assess On-site Conditions: Focuses on safe vehicle positioning and site-specific inductions.;  Work Area Set-up: Establishes an exclusion zone to prevent unauthorised access.;  Environment: Addresses waste management and environmental protection measures.;  Housekeeping: Emphasises maintaining a clean and safe work area to prevent slips, trips, and falls.;  Manual Tasks: Outlines strategies to prevent musculoskeletal injuries during manual handling.;  Materials Delivery: Covers safe delivery and handling of materials to prevent accidents.;  Insulation Handling: Details safe handling practices to avoid contact with hazardous materials.;  Entering & Exiting the Ceiling Space: Provides guidelines for safe access to and from ceiling spaces.;  Installation: Focuses on safe installation practices, including electrical safety and fall prevention.;  On Completion: Describes the steps to secure the site upon completion of work.;  Emergency Response: Outlines a response to emergencies.; Each purchase of our SWMS comes with a complimentary copy of the Legislation & Codes of Practice Reference List, valued at $19.95. This valuable resource provides an up-to-date overview of relevant laws and standards, further supporting your compliance efforts.Key Features of the SWMS: Compliance with Legislation: Adherence to Australian safety regulations.;  Hazard Management: Identifies potential hazards and outlines control measures to mitigate risks.;  Emergency Response: Includes instructions for emergency response.;  Customisable Content: Allows for easy addition of company logo and specific job details.; Who is it Suitable For?This SWMS is essential for contractors, construction workers, and any professionals involved in the installation of insulation batts, ensuring they operate in a safe and compliant manner.Ensure your team is equipped with the knowledge and tools to safely install insulation batts. Get your copy today and take a proactive step toward a safer workplace."
10640-3,Roofing Removal Safe Work Method Statement,https://safetydocs.safetyculture.com/swms/roofing-removal-swms-10640,https://cdn11.bigcommerce.com/s-u81rarrvlz/products/2904/images/5038/safetyculture-roofing-removal-safe-work-method-statement__15409.1640163113.386.513.jpg?c=1,89.95,0.00,Safe Work Method Statement (SWMS) Templates > Demolition SWMS," Instant Document Delivery via Email.;  Add to your existing management system.;  Can assist in ensuring workers are adequately trained.;  Customisation instructions provided.;  Microsoft Word Format (Fully editable).;  Only pay once (no subscriptions required).; Roofing Removal Safe Work Method Statement (SWMS)This Roofing Removal Safe Work Method Statement (SWMS) covers hazards and controls associated with the removal of roofing materials e.g. tiles, metal sheeting from a roof.Job Steps Covered in Roofing Removal SWMS Implement a Falls Emergency Rescue Plan: Outlines the necessity for trained first aid providers and reliable emergency contact methods.;  Arrival On-site & Assess On-site Conditions: Focuses on safe vehicle positioning and site-specific inductions.;  Work Area Set-up: Details the setup of edge protection and fall restraint/arrest systems.;  Check Weather Conditions & Prepare: Addresses weather conditions and environmental considerations.;  Environment: Covers noise, waste management, and protection of waterways and fauna.;  Housekeeping: Emphasises the importance of maintaining a clean and safe work area.;  Manual Tasks: Discusses correct lifting techniques and avoiding musculoskeletal injuries.;  Accessing the Roof using Mobile Scaffolding or Extension Ladder: Specifies safe scaffold erection and ladder use.;  Roof Removal: Highlights the use of fall restraint/arrest systems and safe movement on the roof.;  Working with Powered & Non-powered Tools: Outlines safe tool use and fire prevention measures.;  Hazardous Chemical Use: Details safe handling and use of chemicals.;  On Completion: Describes the dismantling of scaffolds and site clean-up.;  Emergency Response: Provides a response for emergencies and rescue plans.; Each purchase of our SWMS comes with a complimentary copy of the Legislation & Codes of Practice Reference List, valued at $19.95. This valuable resource provides an up-to-date overview of relevant laws and standards, further supporting your compliance efforts.Key Features of the SWMS Regulatory Compliance: Adherence to Australian health and safety legislation.;  Hazard Management: Identifies potential hazards and outlines control measures to mitigate risks.;  Comprehensive Coverage: Addresses a wide range of risks including falls, electrical hazards, and environmental impacts.;  Emergency Response: Includes protocols for emergencies for a swift and effective response.; Who is it Suitable For?This SWMS is essential for businesses and contractors involved in roofing removal, including those working with asbestos, at height, and near pressurised gas lines. It's suitable for: Roofing contractors;  Construction companies;  Demolition crews;  Safety officers and supervisors; Ensure your team is equipped with the knowledge and tools to safely conduct roofing removal tasks. This SWMS not only aids in regulatory compliance but also enhances workplace safety, making it an invaluable asset for your operations."
10026-7,Boat or Barge Safe Work Method Statement,https://safetydocs.safetyculture.com/swms/boat-barge-safety-swms-10026,https://cdn11.bigcommerce.com/s-u81rarrvlz/products/1699/images/4017/safetyculture-boat-or-barge-safe-work-method-statement__94316.1640165271.386.513.jpg?c=1,89.95,0.00,Safe Work Method Statement (SWMS) Templates > Miscellaneous SWMS," Instant Document Delivery via Email.;  Add to your existing management system.;  Can assist in ensuring workers are adequately trained.;  Customisation instructions provided.;  Microsoft Word Format (Fully editable).;  Only pay once (no subscriptions required).; Boat or Barge Safe Work Method StatementThis comprehensive Safe Work Method Statement (SWMS) is designed for the safety and efficiency of boat and barge operations. It provides a detailed framework for identifying hazards, implementing control measures, and compliance with Australian legislation, making marine operations safer for everyone involved.Job Steps Covered in Boat or Barge SWMS Training: Focuses on equipping all personnel with knowledge of hazards and safety measures for boat and barge operations.;  Planning: Emphasises the importance of thorough planning for safe and efficient operations.;  Check Weather Conditions & Prepare: Considers the safety considerations unique to outdoor operations.;  Assess the Vessel before Launch: Guidelines for inspecting the vessel's safety before use.;  Pre-start Check: Steps for conducting pre-start checks to identify potential issues.;  Environment: Environmental considerations and controls to minimise operational impact.;  Housekeeping: Practices for maintaining a clean and safe work environment.;  Manual Tasks: Safe handling and movement of materials during operations.;  Working with Powered & Non-powered Tools: Guidelines for safely using tools during operations.;  Hazardous Substance/Chemical Use: Safe use of hazardous substances and chemicals.;  Launching from a Ramp: Method for safely launching the vessel from a ramp.;  Vessel Operation: Describes the safe operation of the vessel.;  Re-fuelling: Safe refuelling control measures for the vessel.;  On Completion: Steps for finalising operations, leaving the site clean and compliant.;  Emergency Response: Emergency response controls for incidents during operations.; Each purchase of our SWMS comes with a complimentary copy of the Legislation & Codes of Practice Reference List, valued at $19.95. This valuable resource provides an up-to-date overview of relevant laws and standards, further supporting your compliance efforts.Key Features of the SWMS Thorough Pre-Operation Checks: Helps to ensure all safety measures are in place before operations begin.;  Environmental Management: Identifies and mitigates environmental hazards to minimise impact.;  Emergency Response: Detailed Emergency response for incidents.;  Updated Regulations Compliance: Compliance with current regulations and industry standards.; Who is it Suitable For? Marine Construction: Safe operations for construction activities conducted from boats and barges.;  Dredging Operations: Provides comprehensive guidelines for safe and compliant dredging activities.;  Environmental Services: Supports safe controls for marine environmental assessment and remediation activities.;  Transport and Logistics: Safe handling and transporting goods via boats and barges.;  Commercial Fishing and Aquaculture: Promotes safe practices for commercial fishing and aquaculture operations.; Secure your Boat or Barge SWMS today for your team's safety and compliance with safety regulations."
