item,parent_sku,available,size_scale,size,category,title,msrp,price,brand,link,image,description,c_colour,c_heel_height,c_gender,c_material
SK12007DDFSS090,SK12007-DDF-SS,TRUE,SFM,9,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > ACTIVE,Max Run Navy Multi Knit Sneakers,179.99,179.99,SKECHERS,https://www.styletread.com.au/max-run-navy-multi-knit-sneakers.html,https://bynder.munrofg.com/m/cb548ad7a49cfaca/original/SK12007DDFSS_2.jpg,"These active sneakers from Skechers are a slip-on favourite that makes it simple to get up and go. Effortless to wear, MAX RUN is built with cushioned support that helps you cross every finish line",NAVY-MULTI,3,MENS,KNIT
SK12007W85SS070,SK12007-W85-SS,TRUE,SFM,7,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > ACTIVE,Max Run White Multi Knit Sneakers,179.99,179.99,SKECHERS,https://www.styletread.com.au/max-run-white-multi-knit-sneakers.html,https://bynder.munrofg.com/m/745458c1ead6a885/original/SK12007W85SS_2.jpg,"These active sneakers from Skechers are a slip-on favourite that makes it simple to get up and go. Effortless to wear, MAX RUN is built with cushioned support that helps you cross every finish line",WHITE-MULTI,3,MENS,KNIT
SK12013BLASM070,SK12013-BLA-SM,TRUE,SFM,7,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > MEN'S SHOES > CASUALS > SNEAKERS,Uno Ctl Black Sneakers,169.99,169.99,SKECHERS,https://www.styletread.com.au/uno-ctl-black-sneakers.html,https://bynder.munrofg.com/m/39cf056fd8ddd0f/original/SK12013BLASM_2.jpg,"Unlock effortless style with these casual sneakers from Skechers. Designed for all-day comfort, UNO CTL is a cushioned favourite in any staple wardrobe.",BLACK,3,MENS,SMOOTH
SK12014BCZSM090,SK12014-BCZ-SM,TRUE,SFM,9,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > MEN'S SHOES > CASUALS > SNEAKERS,Hotshot Wide Black White Sneakers,159.99,159.99,SKECHERS,https://www.styletread.com.au/hotshot-wide-black-white-sneakers.html,https://bynder.munrofg.com/m/a25725fc9e93749c/original/SK12014BCZSM_2.jpg,"These casual sneakers from Skechers are an updated classic, built for easy comfort. HOTSHOT - WIDE's timeless style slips for a secure fit that supports you every step of the way.",BLACK-WHITE,2.5,MENS,SMOOTH
SK12014BCZSM110,SK12014-BCZ-SM,TRUE,SFM,11,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > MEN'S SHOES > CASUALS > SNEAKERS,Hotshot Wide Black White Sneakers,159.99,159.99,SKECHERS,https://www.styletread.com.au/hotshot-wide-black-white-sneakers.html,https://bynder.munrofg.com/m/a25725fc9e93749c/original/SK12014BCZSM_2.jpg,"These casual sneakers from Skechers are an updated classic, built for easy comfort. HOTSHOT - WIDE's timeless style slips for a secure fit that supports you every step of the way.",BLACK-WHITE,2.5,MENS,SMOOTH
SK12014BCZSM130,SK12014-BCZ-SM,TRUE,SFM,13,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > CASUAL|SHOES ONLINE > MEN'S SHOES > CASUALS > SNEAKERS,Hotshot Wide Black White Sneakers,159.99,159.99,SKECHERS,https://www.styletread.com.au/hotshot-wide-black-white-sneakers.html,https://bynder.munrofg.com/m/a25725fc9e93749c/original/SK12014BCZSM_2.jpg,"These casual sneakers from Skechers are an updated classic, built for easy comfort. HOTSHOT - WIDE's timeless style slips for a secure fit that supports you every step of the way.",BLACK-WHITE,2.5,MENS,SMOOTH
SK12007DDFSS100,SK12007-DDF-SS,TRUE,SFM,10,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > ACTIVE,Max Run Navy Multi Knit Sneakers,179.99,179.99,SKECHERS,https://www.styletread.com.au/max-run-navy-multi-knit-sneakers.html,https://bynder.munrofg.com/m/cb548ad7a49cfaca/original/SK12007DDFSS_2.jpg,"These active sneakers from Skechers are a slip-on favourite that makes it simple to get up and go. Effortless to wear, MAX RUN is built with cushioned support that helps you cross every finish line",NAVY-MULTI,3,MENS,KNIT
SK12007DDFSS070,SK12007-DDF-SS,TRUE,SFM,7,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > ACTIVE,Max Run Navy Multi Knit Sneakers,179.99,179.99,SKECHERS,https://www.styletread.com.au/max-run-navy-multi-knit-sneakers.html,https://bynder.munrofg.com/m/cb548ad7a49cfaca/original/SK12007DDFSS_2.jpg,"These active sneakers from Skechers are a slip-on favourite that makes it simple to get up and go. Effortless to wear, MAX RUN is built with cushioned support that helps you cross every finish line",NAVY-MULTI,3,MENS,KNIT
SK12007W85SS120,SK12007-W85-SS,TRUE,SFM,12,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > ACTIVE,Max Run White Multi Knit Sneakers,179.99,179.99,SKECHERS,https://www.styletread.com.au/max-run-white-multi-knit-sneakers.html,https://bynder.munrofg.com/m/745458c1ead6a885/original/SK12007W85SS_2.jpg,"These active sneakers from Skechers are a slip-on favourite that makes it simple to get up and go. Effortless to wear, MAX RUN is built with cushioned support that helps you cross every finish line",WHITE-MULTI,3,MENS,KNIT
SK12007DDFSS110,SK12007-DDF-SS,TRUE,SFM,11,SHOES ONLINE > MEN'S SHOES|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS|SHOES ONLINE > MEN'S SHOES > SNEAKERS > ACTIVE,Max Run Navy Multi Knit Sneakers,179.99,179.99,SKECHERS,https://www.styletread.com.au/max-run-navy-multi-knit-sneakers.html,https://bynder.munrofg.com/m/cb548ad7a49cfaca/original/SK12007DDFSS_2.jpg,"These active sneakers from Skechers are a slip-on favourite that makes it simple to get up and go. Effortless to wear, MAX RUN is built with cushioned support that helps you cross every finish line",NAVY-MULTI,3,MENS,KNIT
