item,available,title,link,category,image,msrp,price,brand,description,c_color,c_heel_height,c_gender,c_material
CK10466-BLA-SM,TRUE,Addie Jnr Black Sandals,https://www.styletread.com.au/addie-jnr-black-sandals.html,SHOES ONLINE > BRANDS > CLARKS KIDS|SHOES ONLINE > GIRLS SHOES|SHOES ONLINE > GIRLS SHOES > GIRLS SANDALS|SHOES ONLINE > STYLETREAD KIDS SALE|SHOES ONLINE > STYLETREAD KIDS SALE > KIDS SANDALS SALE|SHOES ONLINE > KIDS SHOES|SHOES ONLINE > KIDS SHOES > KIDS SANDALS|SHOES ONLINE > KIDS SHOES > JUNIOR|SHOES ONLINE > KIDS SHOES > KIDS SANDALS > JUNIOR|SHOES ONLINE > KIDS SHOES > STYLE|SHOES ONLINE > KIDS SHOES > STYLE > JUNIOR|SHOES ONLINE > BRANDS > CLARKS KIDS > JUNIOR|SHOES ONLINE > BRANDS > CLARKS KIDS > SANDALS|SHOES ONLINE > KIDS SHOES > GIRLS|SHOES ONLINE > KIDS SHOES > KIDS SANDALS > BLACK|SHOES ONLINE > KIDS SHOES > KIDS SANDALS > GIRLS,https://s3prod.munrofootweargroup.com.au/C/K/CK10466BLASM_2.jpg,89.95,49,CLARKS,"Add these classic leather sandals to your little ones wardrobe. ADDIE JNR by Clarks is a classic design that frames the foot, while the cushioned footbed keeps small feet comfy all day.",BLACK,0,GIRLS,SMOOTH
IL11520-JMY-HG,TRUE,Fiorente Aqua Jade Multi Sandals,https://www.styletread.com.au/fiorente-aqua-jade-multi-sandals.html,SHOES ONLINE > SALE|SHOES ONLINE > WOMEN'S SHOES|SHOES ONLINE > WOMEN'S SHOES > CASUALS|SHOES ONLINE > WOMEN'S SHOES > FLATS|SHOES ONLINE > BRANDS > I LOVE BILLY|SHOES ONLINE > WOMEN'S SHOES > SANDALS|SHOES ONLINE > WOMEN'S SHOES > SANDALS > FLAT SANDALS|SHOES ONLINE > WOMEN'S SHOES > CASUALS > FLATS|SHOES ONLINE > WOMEN'S SHOES > FLATS > SANDALS|SHOES ONLINE > WOMEN'S SHOES > CASUALS > SANDALS|SHOES ONLINE > WOMEN'S SHOES > FLATS > CASUAL FLATS|SHOES ONLINE > WILLIAMS SALE,https://s3prod.munrofootweargroup.com.au/I/L/IL11520JMYHG_4.jpg,69.95,29,I LOVE BILLY,"Pack your bags, these sandals are ready for a summer holiday. Woven straps with beaded details make BARIK a boho essential for sunny weather.",AQUA&JADE,2,WOMENS,MULTI
DJ21408-M4I-LE,TRUE,Onights Champagne Almond Leather Sandals,https://www.styletread.com.au/onights-dj-champagne-almond-sole-leather.html,SHOES ONLINE > NEW ARRIVALS|SHOES ONLINE > WOMEN'S SHOES|SHOES ONLINE > BRANDS > DJANGO & JULIETTE|SHOES ONLINE > WOMEN'S SHOES > FLATS|SHOES ONLINE > WOMEN'S SHOES > SANDALS|SHOES ONLINE > WOMEN'S SHOES > SANDALS > FLAT SANDALS|SHOES ONLINE > WOMEN'S SHOES > FLATS > SANDALS|SHOES ONLINE > FEATURED BRANDS > DJANGO & JULIETTE|SHOES ONLINE > FEATURED BRANDS > DJANGO & JULIETTE > NEW ARRIVALS|SHOES ONLINE > FEATURED BRANDS > DJANGO & JULIETTE > SANDALS|SHOES ONLINE > FEATURED BRANDS > DJANGO & JULIETTE > SHOP ALL,https://bynder.munrofg.com/m/45ad2b323e4928ad/original/DJ21408M4ILE_2.jpg,179.95,179.95,DJANGO & JULIETTE,"These trendy leather sandals are a chic summer favourite from Django & Juliette. Simple to style, ONIGHTS brings a refined look to your warm weekends.",CHAMPAGNE-ALMOND SOLE,3,WOMENS,LEATHER
ZR10306-TRV-LE,TRUE,Talia Xf Cognac Choc Leather Chelsea Boots,https://www.styletread.com.au/talia-xf-cognac-choc-leather-chelsea-boots.html,SHOES ONLINE > WOMEN'S SHOES|SHOES ONLINE > WOMEN'S SHOES > ANKLE BOOTS|SHOES ONLINE > WOMEN'S SHOES > BOOTS|SHOES ONLINE > WOMEN'S SHOES > CASUALS|SHOES ONLINE > WOMEN'S SHOES > COMFORT|SHOES ONLINE > WOMEN'S SHOES > BOOTS > ANKLE BOOTS|SHOES ONLINE > WOMEN'S SHOES > COMFORT > BOOTS|SHOES ONLINE > WOMEN'S SHOES > CASUALS > BOOTS|SHOES ONLINE > WOMEN'S SHOES > BOOTS > CHELSEA BOOTS|SHOES ONLINE > WOMEN'S SHOES > ANKLE BOOTS > FLAT|SHOES ONLINE > PROMOTIONS STYLETREAD|SHOES ONLINE > BRANDS > ZIERA|SHOES ONLINE > WOMEN'S SHOES > BOOTS > FLAT BOOTS,https://s3prod.munrofootweargroup.com.au/Z/R/ZR10306TRVLE_2.jpg,299.95,299.95,ZIERA,"These leather Chelsea boots are a stylish and practical option for cool weather. TALIA has a removable Comfort Plus footbed that combines mild arch support and a metatarsal bump to provide stability and cloudlike cushioning. Available in Ziera's XF width, this style is perfect for those seeking a customisable extra wide fit.<div><br></div>",COGNAC-CHOC,2.5,WOMENS,LEATHER
SU13734-WHI-LE,TRUE,Dakotas White Leather Sandals,https://www.styletread.com.au/dakotas-su-white-leather.html,SHOES ONLINE > NEW ARRIVALS|SHOES ONLINE > WOMEN'S SHOES|SHOES ONLINE > WOMEN'S SHOES > COMFORT|SHOES ONLINE > BRANDS > DIANA FERRARI|SHOES ONLINE > WOMEN'S SHOES > FLATS|SHOES ONLINE > WOMEN'S SHOES > SANDALS|SHOES ONLINE > WOMEN'S SHOES > SANDALS > FLAT SANDALS|SHOES ONLINE > WOMEN'S SHOES > COMFORT > FLATS|SHOES ONLINE > WOMEN'S SHOES > FLATS > SANDALS|SHOES ONLINE > WOMEN'S SHOES > COMFORT > SANDALS|SHOES ONLINE > WOMEN'S SHOES > FLATS > WHITE FLATS,https://bynder.munrofg.com/m/4aa551147909f8d0/original/SU13734WHILE_2.jpg,159.95,159.95,SUPERSOFT,"These stylish leather sandals are a comfortable summer classic from Supersoft. DAKOTAS is built for versatile, all-day support that brings confidence back to every step.",WHITE,3.8,WOMENS,LEATHER
BQ10583-DBY-65,TRUE,Iw Paden Waterproof Toddler Navy Leather Fabric Ankle Boots,https://www.styletread.com.au/iw-paden-wp-bq-navy-leather-fabric.html,SHOES ONLINE > NEW ARRIVALS|SHOES ONLINE > BRANDS > BOBUX|SHOES ONLINE > BOYS SHOES|SHOES ONLINE > BOYS SHOES > BOYS BOOTS|SHOES ONLINE > KIDS NEW ARRIVALS|SHOES ONLINE > KIDS NEW ARRIVALS > KIDS NEW ARRIVALS BOOTS|SHOES ONLINE > KIDS SHOES|SHOES ONLINE > KIDS SHOES > KIDS BOOTS|SHOES ONLINE > KIDS NEW ARRIVALS > NEW TODDLER|SHOES ONLINE > KIDS SHOES > KIDS BOOTS > TODDLER|SHOES ONLINE > KIDS SHOES > STYLE|SHOES ONLINE > KIDS SHOES > STYLE > TODDLER|SHOES ONLINE > KIDS SHOES > TODDLER|SHOES ONLINE > FEATURED BRANDS > BOBUX|SHOES ONLINE > FEATURED BRANDS > BOBUX > STAGE|SHOES ONLINE > FEATURED BRANDS > BOBUX > STAGE > I-WALK|SHOES ONLINE > FEATURED BRANDS > BOBUX > STYLE|SHOES ONLINE > FEATURED BRANDS > BOBUX > STYLE > BOOTS|SHOES ONLINE > FEATURED BRANDS > BOBUX > BOYS > BOOTS|SHOES ONLINE > FEATURED BRANDS > BOBUX > STAGE > I-WALK > NEW|SHOES ONLINE > FEATURED BRANDS > BOBUX > STAGE > I-WALK > BOYS|SHOES ONLINE > FEATURED BRANDS > BOBUX > NEW ARRIVALS|SHOES ONLINE > BRANDS > BOBUX > TODDLER|SHOES ONLINE > KIDS NEW ARRIVALS > BOYS|SHOES ONLINE > KIDS SHOES > BOYS|SHOES ONLINE > BRANDS > BOBUX > I-WALK,https://bynder.munrofg.com/m/52c7cf3f6b91527c/original/BQ10583DBY65_2.jpg,110,110,BOBUX,"The PADEN waterproof boots are perfect for little puddle-jumpers! An outdoorsy style made for rainy days, PADEN keeps things feeling snug on the inside thanks to the soft Merino wool lining and simple toggle fastening. The rugged outsole is designed to be non-slip, with grippy lugging which is ideal for active adventurous kids. Suitable for confident young walkers.",NAVY,0,BOYS,LEATHER-FABRIC
MI15389-WHI-PL,TRUE,Mellow White Patent Leather Flat Shoes,https://www.styletread.com.au/mellow-mi-white-patent-leather.html,SHOES ONLINE > NEW ARRIVALS|SHOES ONLINE > WOMEN'S SHOES|SHOES ONLINE > WOMEN'S SHOES > CASUALS|SHOES ONLINE > WOMEN'S SHOES > FLATS|SHOES ONLINE > WOMEN'S SHOES > FLATS > FLAT SHOES|SHOES ONLINE > WOMEN'S SHOES > CASUALS > FLATS|SHOES ONLINE > WOMEN'S SHOES > FLATS > CASUAL FLATS|SHOES ONLINE > BRANDS > MIDAS|SHOES ONLINE > WOMEN'S SHOES > MARY JANES|SHOES ONLINE > WOMEN'S SHOES > FLATS > WHITE FLATS,https://bynder.munrofg.com/m/4660105dd67f8fcb/original/MI15389WHIPL_2.jpg,179.95,179.95,MIDAS,These leather Mary Janes are a lightweight favourite from Midas. MELLOW's intricate design stands out as a chic essential in any ensemble.,WHITE,1.2,WOMENS,PATENT LEATHER
CF12413-BLA-LE,TRUE,Nadia Black Leather Heels,https://www.styletread.com.au/nadia-cf-black-leather.html,SHOES ONLINE > NEW ARRIVALS|SHOES ONLINE > WOMEN'S SHOES|SHOES ONLINE > WOMEN'S SHOES > CASUALS|SHOES ONLINE > WOMEN'S SHOES > CLOGS|SHOES ONLINE > WOMEN'S SHOES > COMFORT|SHOES ONLINE > WOMEN'S SHOES > HEELS|SHOES ONLINE > WOMEN'S SHOES > COMFORT > HEELS|SHOES ONLINE > WOMEN'S SHOES > CASUALS > HEELS|SHOES ONLINE > WOMEN'S SHOES > HEELS > MEDIUM HEELS|SHOES ONLINE > BRANDS > COLORADO|SHOES ONLINE > WOMEN'S SHOES > HEELS > BLACK HEELS|SHOES ONLINE > FEATURED BRANDS > COLORADO|SHOES ONLINE > FEATURED BRANDS > COLORADO > WOMENS|SHOES ONLINE > FEATURED BRANDS > COLORADO > NEW ARRIVALS,https://bynder.munrofg.com/m/7e5456fe877a2f6c/original/CF12413BLALE_2.jpg,149.95,149.95,COLORADO,Slide into sophistication with these leather clogs from Colorado. NADIA is an everyday favourite that balances your warm summer style.,BLACK,4,WOMENS,LEATHER
SK11949-BLA-SM,TRUE,Revolted Black Sandals,https://www.styletread.com.au/revolted-sk-black-smooth.html,SHOES ONLINE > NEW ARRIVALS|SHOES ONLINE > MEN'S SHOES > CASUALS|SHOES ONLINE > MEN'S SHOES > SANDALS|SHOES ONLINE > BRANDS > SKECHERS|SHOES ONLINE > MEN'S SHOES > CASUALS > SANDALS,https://bynder.munrofg.com/m/2e4f3612794bbfb9/original/SK11949BLASM_2.jpg,159.99,159.99,SKECHERS,These sandals from Skechers are built for long walks and all-day comfort. REVOLTED is an easy-on favourite that cushions every step of your weekend adventures.,BLACK,3,MENS,SMOOTH
DJ19244-Y10-HG,TRUE,Kalino Bright Multi Sandals,https://www.styletread.com.au/kalino-bright-multi-sandals.html,SHOES ONLINE > SALE|SHOES ONLINE > WOMEN'S SHOES|SHOES ONLINE > BRANDS > DJANGO & JULIETTE|SHOES ONLINE > WOMEN'S SHOES > HEELS|SHOES ONLINE > WOMEN'S SHOES > SANDALS|SHOES ONLINE > WOMEN'S SHOES > HEELS > BLOCK HEELS|SHOES ONLINE > WOMEN'S SHOES > HEELS > HEELED SANDALS|SHOES ONLINE > WOMEN'S SHOES > SANDALS > HEELED SANDALS|SHOES ONLINE > WOMEN'S SHOES > HEELS > HIGH HEELS|SHOES ONLINE > MATHERS SALE|SHOES ONLINE > MOUNTFORDS SALE|SHOES ONLINE > FEATURED BRANDS > DJANGO & JULIETTE|SHOES ONLINE > FEATURED BRANDS > DJANGO & JULIETTE > HEELS|SHOES ONLINE > FEATURED BRANDS > DJANGO & JULIETTE > SALE|SHOES ONLINE > FEATURED BRANDS > DJANGO & JULIETTE > SANDALS|SHOES ONLINE > FEATURED BRANDS > DJANGO & JULIETTE > SHOP ALL,https://s3prod.munrofootweargroup.com.au/D/J/DJ19244Y10HG_2.jpg,229.95,59,DJANGO & JULIETTE,"Turn heads in these eye-catching leather heels from Django & Juliette. With a flattering peep-toe and sparkling diamante design, KALINO provides effortless glam for special events.",BRIGHT,7.5,WOMENS,MULTI
